x-axis,IN,OUT
second,Volt,Volt
-1.38000E-03,-1.45703125E+00,+857.42188E-03
-1.36000E-03,-1.42773438E+00,+818.35938E-03
-1.34000E-03,-1.38867188E+00,+779.29688E-03
-1.32000E-03,-1.34960938E+00,+740.23438E-03
-1.30000E-03,-1.32031250E+00,+701.17188E-03
-1.28000E-03,-1.28125000E+00,+671.87500E-03
-1.26000E-03,-1.25195313E+00,+623.04688E-03
-1.24000E-03,-1.22265625E+00,+583.98438E-03
-1.22000E-03,-1.18359375E+00,+544.92188E-03
-1.20000E-03,-1.14453125E+00,+505.85938E-03
-1.18000E-03,-1.10546875E+00,+466.79688E-03
-1.16000E-03,-1.07617188E+00,+427.73438E-03
-1.14000E-03,-1.03710938E+00,+398.43750E-03
-1.12000E-03,-998.04688E-03,+359.37500E-03
-1.10000E-03,-958.98438E-03,+310.54688E-03
-1.08000E-03,-919.92188E-03,+281.25000E-03
-1.06000E-03,-890.62500E-03,+242.18750E-03
-1.04000E-03,-851.56250E-03,+203.12500E-03
-1.02000E-03,-812.50000E-03,+164.06250E-03
-1.00000E-03,-773.43750E-03,+125.00000E-03
-980.00E-06,-744.14063E-03,+95.70313E-03
-960.00E-06,-705.07813E-03,+66.40625E-03
-940.00E-06,-666.01563E-03,+27.34375E-03
-920.00E-06,-626.95313E-03,-1.95312E-03
-900.00E-06,-597.65625E-03,-31.25000E-03
-880.00E-06,-558.59375E-03,-70.31250E-03
-860.00E-06,-529.29688E-03,-99.60937E-03
-840.00E-06,-500.00000E-03,-128.90625E-03
-820.00E-06,-460.93750E-03,-148.43750E-03
-800.00E-06,-431.64063E-03,-197.26562E-03
-780.00E-06,-392.57813E-03,-236.32812E-03
-760.00E-06,-353.51563E-03,-265.62500E-03
-740.00E-06,-314.45313E-03,-304.68750E-03
-720.00E-06,-275.39063E-03,-333.98437E-03
-700.00E-06,-236.32813E-03,-373.04687E-03
-680.00E-06,-197.26563E-03,-412.10937E-03
-660.00E-06,-158.20313E-03,-451.17187E-03
-640.00E-06,-119.14063E-03,-490.23437E-03
-620.00E-06,-80.07813E-03,-539.06250E-03
-600.00E-06,-50.78125E-03,-578.12500E-03
-580.00E-06,-11.71875E-03,-617.18750E-03
-560.00E-06,+27.34375E-03,-656.25000E-03
-540.00E-06,+66.40625E-03,-685.54687E-03
-520.00E-06,+105.46875E-03,-714.84375E-03
-500.00E-06,+144.53125E-03,-753.90625E-03
-480.00E-06,+183.59375E-03,-792.96875E-03
-460.00E-06,+222.65625E-03,-832.03125E-03
-440.00E-06,+261.71875E-03,-871.09375E-03
-420.00E-06,+310.54687E-03,-910.15625E-03
-400.00E-06,+349.60937E-03,-958.98437E-03
-380.00E-06,+388.67187E-03,-988.28125E-03
-360.00E-06,+427.73437E-03,-1.02734375E+00
